Time,Time Code,Country Name,Country Code,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD],External health expenditure per capita (current US$) [SH.XPD.EHEX.PC.CD]
2020,YR2020,Afghanistan,AFG,..,516.8667974,-5.364665931,34.94796166,44.8,15.53361392,6.1311352,61.20481468,12.95210116
2020,YR2020,Albania,ALB,0,5343.037704,-2.745238678,884.8250911,8.4,..,154.8976524,..,..
2020,YR2020,Algeria,DZA,..,3354.157303,-6.729941651,48.46764679,19.6,6.32117987,134.4669044,80.29914715,0.08572689
2020,YR2020,Andorra,AND,..,37207.222,-12.73507756,9665.379665,2.7,9.05175877,2441.683051,895.234785,..
2020,YR2020,Angola,AGO,..,1502.950754,-8.672432129,19.7436402,48.7,2.91183472,21.34275969,27.28717169,2.11269093
2020,YR2020,Antigua and Barbuda,ATG,..,15284.77238,-17.98917356,1316.58465,5.3,5.61472893,500.0560768,329.0950998,1.18831477
2020,YR2020,Argentina,ARG,1.1,8496.428157,-10.81261085,3685.763129,6.8,9.98438072,572.3729519,288.8625067,2.47893679
2020,YR2020,Armenia,ARM,0.4,4505.867746,-6.704049318,620.5428556,10,12.24103546,106.1914347,439.2663736,6.08566008
2020,YR2020,Australia,AUS,..,51722.069,-1.278358059,39853.34174,3.2,10.6489954,4431.030775,1470.075863,0
2020,YR2020,Austria,AUT,0.7,48809.22688,-6.841544703,33802.69117,3,11.47426033,4265.449267,1319.638914,0
2020,YR2020,Azerbaijan,AZE,..,4229.910649,-4.952701739,299.3127696,17.4,4.60676527,65.97134067,124.6775201,0.57844321
2020,YR2020,"Bahamas, The",BHS,..,23998.26802,-23.86836277,1220.259256,11.5,7.59363365,1120.865125,723.2036133,6.92746665
2020,YR2020,Bahrain,BHR,..,23433.18724,-3.565598605,451.4477123,6,4.72300106,695.9360225,414.0614078,0
2020,YR2020,Bangladesh,BGD,..,2233.305893,2.271109279,137.8859686,24.1,2.6280098,9.14320207,38.78175346,2.7391753
2020,YR2020,Barbados,BRB,..,16643.80658,-13.46945599,1061.65811,11.4,7.20014429,624.7146565,565.6373624,9.35994307
2020,YR2020,Belarus,BLR,0,6542.86454,-0.251386576,7550.571687,2.2,6.40607214,289.2741928,117.6007207,1.21977503
2020,YR2020,Belgium,BEL,0.1,45517.90382,-5.769592438,24215.32102,3.4,11.06453228,3966.003275,1043.451456,0
2020,YR2020,Belize,BLZ,..,5266.87616,-14.68046614,132241.6382,10.1,6.92425728,199.7307142,75.84074678,2.41892482
2020,YR2020,Benin,BEN,..,1237.949295,0.951937861,17.87533033,56.6,2.5893681,10.77707633,14.90442351,6.44564571
2020,YR2020,Bermuda,BMU,..,107791.8864,-6.811709487,7575.164729,..,..,..,..,..
2020,YR2020,Bhutan,BTN,..,3009.925516,-10.59763139,682.1953486,23.1,4.37174511,104.2987894,22.53664257,6.86770465
2020,YR2020,Bolivia,BOL,3.1,3068.812555,-9.952404845,205.4261663,20.9,7.857059,173.3488808,60.97352765,6.79579749
2020,YR2020,Bosnia and Herzegovina,BIH,..,6095.102479,-1.778703887,3128.609601,5,9.8411274,410.7978622,172.4286919,8.1798545
